step,topics,train_reward,train_improvement,train_baseline,train_post,train_tokens,train_prompt_leaks,policy_entropy,eval_reward,eval_improvement,eval_tokens,eval_prompt_leaks,best_reference_reward,greedy_actions_json,best_reference_actions_json
1,decimal_to_binary,0.7951225236451683,0.03236372523645169,0.011780254296610495,0.04414397953306218,40.6875,0.0,4.264286359474332,1.9651891945084372,0.04425189194508437,41.0,0.0,5.253237771776509,"{""decimal_to_binary"": ""reverse_order:mistake_fix:60:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz""}"
2,decimal_to_binary,0.44983904035585454,0.034048390403558546,0.011421127295429923,0.045469517698988465,49.25,0.0,4.255363221450122,1.9651891945084372,0.04425189194508437,41.0,0.0,5.253237771776509,"{""decimal_to_binary"": ""reverse_order:mistake_fix:60:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz""}"
3,decimal_to_binary,1.0008174207119245,0.03607067420711924,0.01062553928893951,0.04669621349605875,43.4375,0.0,4.228494959226176,5.127945488594038,0.07827945488594037,45.0,0.0,5.253237771776509,"{""decimal_to_binary"": ""place_values:rule:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz""}"
4,decimal_to_binary,1.406431836243341,0.04222681836243341,0.01106389428598931,0.05329071264842272,46.9375,0.0,4.079035779694125,5.127945488594038,0.07827945488594037,45.0,0.0,5.253237771776509,"{""decimal_to_binary"": ""place_values:rule:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz""}"
5,decimal_to_binary,0.6265863050675674,0.033490863050675675,0.01084045846325444,0.044331321513930114,45.375,0.0,4.064535236385127,5.127945488594038,0.07827945488594037,45.0,0.0,5.253237771776509,"{""decimal_to_binary"": ""place_values:rule:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz""}"
6,decimal_to_binary,0.7697702545656786,0.03732270254565678,0.01232676712636992,0.04964946967202671,49.375,0.0,4.021699839465474,5.127945488594038,0.07827945488594037,45.0,0.0,5.253237771776509,"{""decimal_to_binary"": ""place_values:rule:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz""}"
7,decimal_to_binary,2.076368875397989,0.049826188753979886,0.011225942112258767,0.06105213086623866,48.4375,0.0,3.4420210039323327,5.127945488594038,0.07827945488594037,45.0,0.0,5.253237771776509,"{""decimal_to_binary"": ""place_values:rule:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz""}"
8,decimal_to_binary,2.3268543945248488,0.051318543945248485,0.011176231901503299,0.06249477584675178,46.75,0.0,1.3634529191115148,5.127945488594038,0.07827945488594037,45.0,0.0,5.253237771776509,"{""decimal_to_binary"": ""place_values:rule:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz""}"
9,decimal_to_binary,4.525285377434244,0.07191535377434244,0.01201832060133328,0.08393367437567571,44.4375,0.0,0.36895402109862413,5.127945488594038,0.07827945488594037,45.0,0.0,5.253237771776509,"{""decimal_to_binary"": ""place_values:rule:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz""}"
10,decimal_to_binary,4.3287630422471155,0.07055013042247116,0.011691428181923041,0.0822415586043942,45.4375,0.0,0.1577454372841878,5.127945488594038,0.07827945488594037,45.0,0.0,5.253237771776509,"{""decimal_to_binary"": ""place_values:rule:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz""}"
11,decimal_to_binary,5.429713577662653,0.08129713577662652,0.011952823211088509,0.09324995898771503,45.0,0.0,0.15774543728418802,5.127945488594038,0.07827945488594037,45.0,0.0,5.253237771776509,"{""decimal_to_binary"": ""place_values:rule:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz""}"
12,decimal_to_binary,5.117608894408577,0.07817608894408576,0.01153978131491341,0.08971587025899917,45.0,0.0,0.15774543728418802,5.127945488594038,0.07827945488594037,45.0,0.0,5.253237771776509,"{""decimal_to_binary"": ""place_values:rule:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz""}"
13,decimal_to_binary,5.275372070791179,0.07975372070791178,0.011908155206582753,0.09166187591449454,45.0,0.0,0.15774543728418766,5.127945488594038,0.07827945488594037,45.0,0.0,5.253237771776509,"{""decimal_to_binary"": ""place_values:rule:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz""}"
14,decimal_to_binary,5.3232382055945,0.08023238205594499,0.011083311469084565,0.09131569352502955,45.0,0.0,0.15774543728418802,5.127945488594038,0.07827945488594037,45.0,0.0,5.253237771776509,"{""decimal_to_binary"": ""place_values:rule:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz""}"
15,decimal_to_binary,5.247223028768386,0.07947223028768385,0.011226006222121032,0.09069823650980488,45.0,0.0,0.15774543728418808,5.127945488594038,0.07827945488594037,45.0,0.0,5.253237771776509,"{""decimal_to_binary"": ""place_values:rule:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz""}"
16,decimal_to_binary,6.051958945977526,0.08751958945977525,0.011589082928914234,0.09910867238868949,45.0,0.0,0.1577454372841878,5.127945488594038,0.07827945488594037,45.0,0.0,5.253237771776509,"{""decimal_to_binary"": ""place_values:rule:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz""}"
