step,topics,train_reward,train_improvement,train_baseline,train_post,train_tokens,train_prompt_leaks,policy_entropy,eval_reward,eval_improvement,eval_tokens,eval_prompt_leaks,best_reference_reward,greedy_actions_json,best_reference_actions_json
1,"decimal_to_binary,fraction_addition,subject_verb_agreement",2.398609219106594,0.052961092191065935,0.015262106165193001,0.06822319835625894,48.291666666666664,0.0,4.271094595897114,3.8944108329534504,0.0713441083295345,54.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""reverse_order:mistake_fix:92:quiz"", ""fraction_addition"": ""convert_numerators:mistake_fix:92:noquiz"", ""subject_verb_agreement"": ""identify_main_verb:worked_example:60:quiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
2,"decimal_to_binary,fraction_addition,subject_verb_agreement",1.1367481299275135,0.04111748129927514,0.013058006524191547,0.05417548782346668,49.583333333333336,0.0,4.264711012071945,4.732095961212386,0.08272095961212386,59.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""reverse_order:worked_example:92:quiz"", ""fraction_addition"": ""convert_numerators:mistake_fix:92:noquiz"", ""subject_verb_agreement"": ""identify_main_verb:mistake_fix:92:quiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
3,"decimal_to_binary,fraction_addition,subject_verb_agreement",1.479829460513163,0.04394829460513163,0.014129030386182547,0.058077324991314176,48.583333333333336,0.0,4.257033385051414,3.8944108329534504,0.0713441083295345,54.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""reverse_order:mistake_fix:92:quiz"", ""fraction_addition"": ""convert_numerators:mistake_fix:92:noquiz"", ""subject_verb_agreement"": ""identify_main_verb:worked_example:60:quiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
4,"decimal_to_binary,fraction_addition,subject_verb_agreement",1.0715583413175833,0.03714058341317583,0.012965544029784547,0.050106127442960384,44.041666666666664,0.0,4.247375623840068,3.915530027858701,0.06855530027858701,49.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""reverse_order:mistake_fix:92:quiz"", ""fraction_addition"": ""convert_numerators:mistake_fix:60:noquiz"", ""subject_verb_agreement"": ""ignore_interrupting_phrase:worked_example:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
5,"decimal_to_binary,fraction_addition,subject_verb_agreement",2.3943134911871073,0.05331813491187107,0.01161862303564191,0.06493675794751298,48.958333333333336,0.0,4.242668657287033,3.915530027858701,0.06855530027858701,49.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""reverse_order:mistake_fix:92:quiz"", ""fraction_addition"": ""convert_numerators:mistake_fix:60:noquiz"", ""subject_verb_agreement"": ""ignore_interrupting_phrase:worked_example:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
6,"decimal_to_binary,fraction_addition,subject_verb_agreement",2.7737551551244746,0.05818755155124474,0.01489685121414504,0.07308440276538979,50.75,0.0,4.230156722058178,5.25313710239209,0.0821313710239209,49.333333333333336,0.0,6.496261955650152,"{""decimal_to_binary"": ""reverse_order:mistake_fix:92:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
7,"decimal_to_binary,fraction_addition,subject_verb_agreement",2.2853940629589062,0.05040394062958906,0.014481017706291148,0.0648849583358802,45.916666666666664,0.0,4.220564345685026,4.649978579455877,0.07609978579455877,49.333333333333336,0.0,6.496261955650152,"{""decimal_to_binary"": ""reverse_order:mistake_fix:92:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""singular_plural_subject:mistake_fix:60:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
8,"decimal_to_binary,fraction_addition,subject_verb_agreement",3.3387990509589796,0.0613129905095898,0.014051393190848159,0.07536438370043795,46.541666666666664,0.0,4.191230081896808,4.649978579455877,0.07609978579455877,49.333333333333336,0.0,6.496261955650152,"{""decimal_to_binary"": ""reverse_order:mistake_fix:92:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""singular_plural_subject:mistake_fix:60:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
9,"decimal_to_binary,fraction_addition,subject_verb_agreement",1.8183500838863471,0.046008500838863466,0.013119583168736489,0.05912808400759995,46.375,0.0,4.147969504834009,4.649978579455877,0.07609978579455877,49.333333333333336,0.0,6.496261955650152,"{""decimal_to_binary"": ""reverse_order:mistake_fix:92:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""singular_plural_subject:mistake_fix:60:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
10,"decimal_to_binary,fraction_addition,subject_verb_agreement",2.881510804618887,0.05676510804618887,0.014874928383250828,0.0716400364294397,46.583333333333336,0.0,4.134883836663161,5.25313710239209,0.0821313710239209,49.333333333333336,0.0,6.496261955650152,"{""decimal_to_binary"": ""reverse_order:mistake_fix:92:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
11,"decimal_to_binary,fraction_addition,subject_verb_agreement",2.7337613457261436,0.05576261345726143,0.013077717907540837,0.06884033136480226,47.375,0.0,4.002937559435988,5.25313710239209,0.0821313710239209,49.333333333333336,0.0,6.496261955650152,"{""decimal_to_binary"": ""reverse_order:mistake_fix:92:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
12,"decimal_to_binary,fraction_addition,subject_verb_agreement",3.025651398127565,0.057131513981275646,0.01407881773433133,0.07121033171560699,44.791666666666664,0.0,3.968551822761478,5.43746193956649,0.07977461939566491,42.333333333333336,0.0,6.496261955650152,"{""decimal_to_binary"": ""reverse_order:rule:92:noquiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
13,"decimal_to_binary,fraction_addition,subject_verb_agreement",2.8921659654672247,0.05909665965467225,0.01376128169993312,0.07285794135460537,50.291666666666664,0.0,3.7315610102166814,6.364564243946788,0.09364564243946788,50.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""place_values:rule:60:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
14,"decimal_to_binary,fraction_addition,subject_verb_agreement",3.2672159719650664,0.05979715971965066,0.014312029765886455,0.07410918948553712,45.208333333333336,0.0,3.3032871594137596,6.364564243946788,0.09364564243946788,50.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""place_values:rule:60:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
15,"decimal_to_binary,fraction_addition,subject_verb_agreement",3.1534150406357226,0.05805915040635722,0.01399738355229637,0.07205653395865359,44.208333333333336,0.0,3.14142617000411,6.364564243946788,0.09364564243946788,50.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""place_values:rule:60:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
16,"decimal_to_binary,fraction_addition,subject_verb_agreement",5.131832732488876,0.07856832732488876,0.015033779884837341,0.0936021072097261,45.416666666666664,0.0,2.609175522750464,6.364564243946788,0.09364564243946788,50.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""place_values:rule:60:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
17,"decimal_to_binary,fraction_addition,subject_verb_agreement",4.535013326687914,0.07357513326687914,0.013904948084763698,0.08748008135164285,47.041666666666664,0.0,2.349093679420091,6.364564243946788,0.09364564243946788,50.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""place_values:rule:60:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
18,"decimal_to_binary,fraction_addition,subject_verb_agreement",5.778841887569388,0.08566341887569388,0.012960625756525887,0.09862404463221976,46.458333333333336,0.0,2.196454836860419,6.364564243946788,0.09364564243946788,50.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""place_values:rule:60:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
19,"decimal_to_binary,fraction_addition,subject_verb_agreement",4.197587122109831,0.06990087122109831,0.013331479059216654,0.08323235028031496,46.541666666666664,0.0,2.0805384935989917,6.364564243946788,0.09364564243946788,50.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""place_values:rule:60:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
20,"decimal_to_binary,fraction_addition,subject_verb_agreement",3.929080503717317,0.06619080503717317,0.013861689403241263,0.08005249444041443,44.833333333333336,0.0,1.9772788267838388,6.364564243946788,0.09364564243946788,50.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""place_values:rule:60:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
