step,topics,train_reward,train_improvement,train_baseline,train_post,train_tokens,train_prompt_leaks,policy_entropy,eval_reward,eval_improvement,eval_tokens,eval_prompt_leaks,best_reference_reward,greedy_actions_json,best_reference_actions_json
1,"decimal_to_binary,fraction_addition,subject_verb_agreement",1.8219135117810945,0.04798163511781095,0.014160056344692274,0.06214169146250322,49.604166666666664,0.0,4.2633863904602824,4.338935927278018,0.07718935927278017,56.333333333333336,0.0,6.496261955650152,"{""decimal_to_binary"": ""reverse_order:worked_example:92:quiz"", ""fraction_addition"": ""convert_numerators:mistake_fix:92:noquiz"", ""subject_verb_agreement"": ""identify_main_verb:worked_example:60:quiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
2,"decimal_to_binary,fraction_addition,subject_verb_agreement",1.3801593177222822,0.04127659317722282,0.013547287207983547,0.054823880385206365,45.791666666666664,0.0,4.24789491810487,3.8944108329534504,0.0713441083295345,54.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""reverse_order:mistake_fix:92:quiz"", ""fraction_addition"": ""convert_numerators:mistake_fix:92:noquiz"", ""subject_verb_agreement"": ""identify_main_verb:worked_example:60:quiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
3,"decimal_to_binary,fraction_addition,subject_verb_agreement",2.557361629962993,0.055623616299629926,0.013257737124893474,0.06888135342452341,50.083333333333336,0.0,4.226201062734334,4.66357727718506,0.0762357727718506,49.333333333333336,0.0,6.496261955650152,"{""decimal_to_binary"": ""reverse_order:mistake_fix:92:quiz"", ""fraction_addition"": ""convert_numerators:mistake_fix:92:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
4,"decimal_to_binary,fraction_addition,subject_verb_agreement",2.685787589683755,0.05458287589683755,0.014266205448569652,0.0688490813454072,46.208333333333336,0.0,4.178145608143557,5.2278924182772775,0.08467892418277279,54.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""reverse_order:mistake_fix:92:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""singular_plural_subject:mistake_fix:60:quiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
5,"decimal_to_binary,fraction_addition,subject_verb_agreement",2.0943370077184373,0.04790587007718438,0.013997255775993658,0.06190312585317803,44.9375,0.0,4.117427871507829,6.364564243946788,0.09364564243946788,50.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""place_values:rule:60:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
6,"decimal_to_binary,fraction_addition,subject_verb_agreement",2.7821435319567773,0.05608393531956777,0.013578267820936083,0.06966220314050385,47.104166666666664,0.0,3.904825357153998,6.364564243946788,0.09364564243946788,50.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""place_values:rule:60:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
7,"decimal_to_binary,fraction_addition,subject_verb_agreement",3.34056209923236,0.0611181209923236,0.014036655732909789,0.07515477672523338,46.1875,0.0,3.241866256578817,6.364564243946788,0.09364564243946788,50.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""place_values:rule:60:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
8,"decimal_to_binary,fraction_addition,subject_verb_agreement",4.083120451064217,0.06839370451064217,0.014515581718566857,0.08290928622920903,45.9375,0.0,2.283789526674751,6.364564243946788,0.09364564243946788,50.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""place_values:rule:60:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
9,"decimal_to_binary,fraction_addition,subject_verb_agreement",5.627197241252581,0.08487197241252581,0.013432786920644792,0.09830475933317061,47.666666666666664,0.0,1.336037087118345,6.364564243946788,0.09364564243946788,50.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""place_values:rule:60:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
10,"decimal_to_binary,fraction_addition,subject_verb_agreement",6.035114374325679,0.09120114374325677,0.01359658423122896,0.10479772797448574,51.416666666666664,0.0,0.6466330059860048,6.364564243946788,0.09364564243946788,50.0,0.0,6.496261955650152,"{""decimal_to_binary"": ""place_values:rule:60:quiz"", ""fraction_addition"": ""convert_numerators:rule:92:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:92:noquiz""}","{""decimal_to_binary"": ""place_values:rule:60:noquiz"", ""fraction_addition"": ""convert_numerators:rule:60:noquiz"", ""subject_verb_agreement"": ""self_check:worked_example:60:noquiz""}"
